date,ECT@KAU.Q,KPPRVRSD_R@KAU.Q,PMKRSGF@KAU.Q,PMKRCON@KAU.Q,KRSGF@KAU.Q,KRCON@KAU.Q,PICTSGF@HON.Q
1972-01-01,0.5998814031397965,,,,,,
1972-04-01,0.6041197496573973,,,,,,
1972-07-01,0.6181822415654131,,,,,,
1972-10-01,0.6367376073640939,,,,,,
1973-01-01,0.683236953511832,,,,,,
1973-04-01,0.6979238620988691,,,,,,
1973-07-01,0.7132770353531548,,,,,,
1973-10-01,0.7327458369653197,,,,,,
1974-01-01,0.8492763839912643,,,,,,
1974-04-01,0.8522377567008825,,,,,,
1974-07-01,0.8748271918403848,,,,,,
1974-10-01,0.8721394104180984,,,,,,
1975-01-01,0.9110859012526907,,,,,,
1975-04-01,0.8898608959749118,,,,,,
1975-07-01,0.8586855933248957,,,,,,
1975-10-01,0.8102918453872016,,,,,,
1976-01-01,0.8421877548988768,,,,,,
1976-04-01,0.813384144585375,,,,,,
1976-07-01,0.7850652032544082,,,,,,
1976-10-01,0.7909101277301259,,,,,,
1977-01-01,0.7090452225551381,,,,,,
1977-04-01,0.7075308395996007,,,,,,
1977-07-01,0.6863076816430854,,,,,,
1977-10-01,0.6327974124133087,,,,,,
1978-01-01,0.6673072885390116,,,,,,
1978-04-01,0.6858264896325467,,,,,,
1978-07-01,0.717465683276662,,,,,,
1978-10-01,0.7466068162156233,,,,,,
1979-01-01,0.8948822186050317,,,,,,
1979-04-01,0.903999791606997,,,,,,
1979-07-01,0.9486506468301507,,,,,,
1979-10-01,0.9758731704219211,,,,,,
1980-01-01,1.4660076070321626,,,,11.449417407491632,9.70015424080298,
1980-04-01,1.4448346424584502,,,,6.927374139784219,2.8997080360202045,
1980-07-01,1.342732270996369,,,,11.101883361350444,5.582797767916501,
1980-10-01,1.3672480725260978,,,,10.521325091373706,4.817339955260313,
1981-01-01,1.155168910051885,,,,11.649045801510601,4.381814421595824,
1981-04-01,1.115288820959024,,,,12.099434187249948,4.948012233483712,
1981-07-01,1.0910836385152332,,,,9.949160547815522,6.522284798778123,
1981-10-01,1.0422996240542903,,,,12.30235946342393,7.14788854614234,
1982-01-01,0.8572412147900396,,,,11.409151576797983,8.441507167043163,65.4
1982-04-01,0.8144947223791906,,,,10.19820079927492,7.011857807621592,64.5
1982-07-01,0.7818131101621546,,,,9.475839896907502,6.184372321942465,65.0
1982-10-01,0.7743949636710218,,,,8.916807727019592,5.362262703392777,66.3
1983-01-01,1.0444176060009749,,,,11.909826900177752,5.72314700066904,69.6
1983-04-01,1.0228176461400456,,,,15.410798190975735,8.256309331028195,71.0
1983-07-01,1.0257198960640659,,,,17.423192137415413,10.752189868938284,72.4
1983-10-01,1.0199861215295967,,,,18.256182771431103,12.268353799364485,73.1
1984-01-01,0.6949499387446426,,,,17.335280611440993,11.303441272519088,74.7
1984-04-01,0.6939178414188755,,,,16.374825829633792,11.931459890377319,74.3
1984-07-01,0.635847139480144,,,,16.17963111163415,11.685382521820317,74.5
1984-10-01,0.5572744510511299,,,,16.110262447291074,14.079716315283274,75.0
1985-01-01,0.7156882805488386,,,,18.07854678975686,20.742442672371343,76.1
1985-04-01,0.7562102347858985,,,,22.038514356878995,27.34708270742083,75.7
1985-07-01,0.7883192364747552,,,,28.907134630901357,28.864301384543545,77.6
1985-10-01,0.7967369784957007,,,,33.975804222462784,34.04617323566427,77.2
1986-01-01,0.8081159246518719,,,,34.96862046711495,38.74716988360192,78.5
1986-04-01,0.8114060634630365,,,,33.747793838234614,33.20467589499532,78.1
1986-07-01,0.8870486032770294,,,,45.06568961804498,44.48369045489424,79.1
1986-10-01,0.932450497346384,,,,64.21789607660546,65.56446376650852,81.5
1987-01-01,0.9664669982136007,,,,48.798492543043636,51.565350733702495,80.9
1987-04-01,0.9874340590001834,,,,57.33508984780992,60.57470870383208,81.3
1987-07-01,0.9881275096427621,,,,55.95211399657179,70.39986636801875,82.5
1987-10-01,0.9943793470385867,,,,52.914303612574656,71.4600741944467,83.6
1988-01-01,0.9269205812448881,,,,47.92011454412764,65.64191572629159,86.7
1988-04-01,0.977639933350604,,,,47.74078973087517,62.283889161877404,85.4
1988-07-01,1.0050055175272823,,,,52.74689346462869,68.88366353960609,86.6
1988-10-01,1.0482254258732406,,,,55.592202260368516,71.19053157222491,88.0
1989-01-01,1.4717098127457604,19.90860335195531,,,60.425090051977136,71.71914257231096,89.5
1989-04-01,1.5712632350523388,23.618453038674033,,,62.41527481078296,69.21857955031199,90.5
1989-07-01,1.643876560690824,32.39889258028793,,,68.23924599652936,66.649646442041,90.3
1989-10-01,1.7242160786595109,38.57580546448088,,,70.92038914071057,73.41263143533604,91.5
1990-01-01,1.7671194379391102,38.51724890829694,,,77.63067969898545,87.37945453630388,91.6
1990-04-01,1.7721779859484779,34.69891891891892,,,76.99151482121488,79.69495984932651,92.5
1990-07-01,1.8042154566744735,29.549434737923953,,,68.12931140781482,68.64017755450841,97.3
1990-10-01,1.8598594847775178,64.76777777777777,,,59.24849407198481,57.28540805986118,99.0
1991-01-01,1.7305952930318416,18.91004056795132,,,34.36746044712011,35.510855797228054,98.6
1991-04-01,1.7258883248730967,20.875742067553738,,,34.27435505499666,43.75118201431095,97.7
1991-07-01,1.6913705583756347,15.232146490335705,,,36.5374323946212,45.471578839852164,98.3
1991-10-01,1.6552838024919245,11.57255297679112,,,47.82075210326204,39.266383348608834,99.1
1992-01-01,1.7103988255444094,13.059605911330049,,,74.88171606032805,30.836093466163828,101.5
