date,VIS@KAU.M,VISUS@KAU.M,VISUSW@KAU.M,VISUSE@KAU.M,VISJP@KAU.M,VISRES@KAU.M,VLOS@KAU.M,VDAY@KAU.M,PRM@KAU.M,OCUP%@KAU.M,RMRV@KAU.M,VEXP@KAU.M
2002-06-01,88.5972410584449,70.56572616574653,40.118915307602755,30.449638569112246,8.502676590331165,9.528838302367202,6.064233023699781,537.2743150353116,156.84203936049028,71.66218385556091,112.31076095538484,
2002-07-01,83.94942414419393,65.6839070390808,38.08538133081524,28.09471973813888,7.863202229631126,10.402314875481999,6.125327708295532,514.217733805885,158.9331477635198,68.99247621906524,110.61156581548215,
2002-08-01,84.47623866052747,66.09491212767259,38.25024358679119,29.15199823590288,7.964820948065028,10.41650558478986,6.068887248101346,512.6767675744411,162.4897728982312,71.49662712620326,117.17416303206585,
2002-09-01,82.80251290812069,65.04471269077355,35.14228507482778,28.325606898889664,7.369626421592248,10.388173795754899,6.577396932363936,544.6249943938982,161.43694548239964,66.54570083095182,107.60974665658296,
2002-10-01,84.21827594088123,66.41664815675888,37.8390860870799,28.293825457608886,7.580061707560609,10.221566076561736,6.453197488628204,543.4771667982918,163.19116161796958,70.55147575761772,114.77370757973156,
2002-11-01,83.91822463677204,65.81273764505458,36.66359209159619,29.28600900210335,7.129896026638867,10.975590965078602,6.590094309925598,553.0290146778495,161.56823771811045,71.21509532652072,114.4978405558143,
2002-12-01,84.1345945646679,65.28229581415208,36.91269629043505,28.196120803992216,8.433580476203428,10.418718274312399,6.448843844829419,542.5708622955773,163.72092788314202,72.9223380616556,118.3950481748123,
2003-01-01,83.61241178309606,67.9190993217027,38.87861712036124,29.073066659772913,5.85567955345724,9.83763290793613,6.373571856908609,532.9097146289948,167.7548640500496,73.10330053795204,121.56370291763561,82.54844801874185
2003-02-01,80.7338475016768,65.73633579395329,36.968478073082515,27.448615495078116,5.5986671074606225,9.398844600262894,6.525733870595324,526.84760314517,166.73288036944066,71.8311244881518,118.79299787748154,83.3658181660253
2003-03-01,80.079403842026,66.15367154875088,38.130182217562535,28.799718839024735,4.424362480730244,9.501369812544882,6.594403210143214,528.075877762211,169.2623293720343,71.4175904293585,121.04960444714935,80.93422515982002
2003-04-01,80.6023720896947,68.86363680706188,39.368161018955526,29.972413732126316,3.295278949055547,8.443456333577274,6.929692520023661,558.5496549661212,170.04934679206744,71.94194722553512,120.46105891960718,79.67574059857179
2003-05-01,79.3990564611596,67.40964424413723,39.116594375300494,29.188895955752063,3.2110272217148244,8.778384995307555,6.950396829505784,551.8549502933944,169.22734011439314,71.27828865818171,120.41367771966756,81.28051522750492
2003-06-01,80.58112405853379,68.75409526148273,40.373646300866056,28.35240539527745,3.2925084667343305,8.534520330316719,6.834736884700196,550.7507808134633,169.41474404986187,71.292772764072,121.33006023931233,80.03341927234138
2003-07-01,82.25691281736202,70.4717149241644,40.79203623716062,29.77516354174661,3.4340591720288214,8.351138721168791,6.863737713702067,564.5898747172306,167.34685888559872,75.29392263039556,126.28560674916963,81.24979147070829
2003-08-01,84.0120154860626,71.2345528781869,40.44848938009205,31.438786456942967,3.908350712837664,8.86911189503803,7.049800294871936,592.2679315464297,168.08020638333733,79.64732071677373,134.83163826485108,91.39795880338131
2003-09-01,80.31848620776071,67.21373667060308,37.25581564856147,28.73298678831934,4.295280731225594,8.809468805932047,6.821450082661224,547.8885443811537,172.02778283002579,75.42183134899275,129.6413090236153,83.65749761551412
2003-10-01,80.48525698830164,67.17611550988892,39.09342108483287,27.693232241559738,4.5131560126631864,8.795985465749542,6.891942668481588,554.699776821382,170.7310428933021,76.74919349583605,130.4733035382426,86.3998233955256
2003-11-01,81.14253680909653,67.5059297924657,39.29549325707941,27.973967449722196,4.764821246778838,8.871785769852002,6.863260660281856,556.9023807573446,170.54872845281213,77.32852721028596,132.03671075729892,87.68299712678046
2003-12-01,82.6435607492309,68.98974424760226,38.297616286145235,30.96047344467752,5.102592345313087,8.55122415631556,6.853739214913663,566.4174131671034,171.34387580707684,80.7941804944647,138.92032954596866,90.97674291857065
2004-01-01,81.8811793968241,68.3484143531854,39.281307986664096,29.642045820674213,4.577123010396992,8.955642033241698,7.0133696232692015,574.2629762991421,171.06265896774798,78.61503069089753,134.81274304983862,89.08643873703116
2004-02-01,83.97262991592689,69.64288810431061,41.23633206831205,29.210667006256667,4.966878275737258,9.362863535879013,7.014189164260233,588.9999108507291,171.81755947099973,78.05303298230524,133.19898234792,88.43980701227028
2004-03-01,83.43369649514655,70.11058292287059,39.64885955019609,29.711062881066145,4.698380661560784,8.624732910715167,6.868849156487107,573.0934757932887,175.26422978702405,78.865739571038,138.77337912796898,85.16113878206806
2004-04-01,84.92841552190048,70.92210642649023,41.20921260580333,30.480674648128623,4.983028875517619,9.023280219892632,6.9929859091107565,593.9032130277533,176.95006572239717,79.38431169448761,140.1390438230731,88.88762622759961
2004-05-01,85.77563456103526,71.67828927464018,41.039638198637924,30.777385423137172,4.895109796758609,9.20223548963648,6.959015847025774,596.914000198936,177.00784245023894,78.44229209776258,139.75340323706791,91.49990409252796
2004-06-01,85.15990149247514,70.77386570044484,39.87461136491835,30.398584750135914,4.912177860842545,9.473857931187755,6.797381009247001,578.8642971542959,178.4200332217842,79.84472193126032,142.73265605484698,92.85692831868059
2004-07-01,86.67930349802472,72.58263581799012,40.007455451995064,32.862662532290614,4.909090348593553,9.187577331441048,6.836094994389729,592.547952760035,179.2487085116056,79.9787623085363,142.3175812292865,93.82371144444863
2004-08-01,84.16350803182338,70.60398680853206,40.57108118116801,29.50984599383084,4.533613222035441,9.025908001255889,6.897307635858929,580.5016066085697,177.96667773037078,78.0765687702787,139.879862676075,90.74753680445448
2004-09-01,86.23577547108896,72.45616588943223,41.68931558962343,30.270812349564537,4.268567848061459,9.51104173359526,6.873628529138707,592.752686510477,177.4995496351632,77.13555150940692,137.2872893728939,92.019950824368
2004-10-01,86.68702380242394,72.39226489639525,40.74579503698715,31.685420608694724,4.335784000309533,9.95897490571916,6.776245590775335,587.4125628186117,178.61814119993292,78.56589125312708,139.46739681345136,94.57455350274488
2004-11-01,84.74860209147926,71.4076307792699,41.12506737769967,29.82891551991256,3.9440118176074153,9.396959494601937,6.748411520268759,571.9184426808116,179.0683143137858,76.35924970840911,136.54667391672731,90.86468214478889
2004-12-01,87.2556392452881,74.44028602643861,42.23896258799476,32.31340046630799,3.880657282578805,8.934695936270668,6.648652675232988,580.1324392973492,178.84621898894983,74.77884748249072,134.61098835085025,89.92038537052584
2005-01-01,86.29133812995556,73.47702162507342,42.039041847283826,32.17188514352385,3.97666691138399,8.837649593498151,6.808558619755731,587.5196340349653,174.12221617206623,78.21377240297343,136.91643911500682,88.87019573185108
2005-02-01,87.61259663280129,74.85734100266102,41.56408325874721,32.44086350020946,3.796941768267297,8.95831386187297,6.612825602943518,579.3668221537514,178.5518277879697,76.2190790336591,135.32781008630522,88.90966727213679
2005-03-01,90.61176558519593,77.63708970676957,42.80009419796255,33.412022371502744,3.730305588715048,9.24437028971131,6.57629426608341,595.8896344576181,178.08990654009392,77.95827735661082,136.58675519138274,92.83405856953512
2005-04-01,84.21162879427763,70.8688113800214,41.63669913799397,30.88518080726159,3.6607271149767113,9.68209029927952,6.775581639036283,570.5827658518467,174.47116436524988,75.1658991236923,133.70228980227773,91.95848619445418
2005-05-01,88.57788020127683,75.1566202939561,42.766656116122604,31.780050035605047,3.8660013636610278,9.555258543659697,6.455917288151465,571.8514681392325,176.8339054558539,77.33216041044781,137.58660809208817,94.528574656473
2005-06-01,90.21514998743051,76.66282756892356,43.71634545537125,32.64150321947567,3.803730992933096,9.748591425573853,6.591134888235981,594.620222529595,178.2157955554903,76.95065509616441,136.9021234277552,93.11780417103114
2005-07-01,96.03860856307593,82.03309017954068,45.72358848463049,34.38611234444045,3.5831193839571225,10.42239899957812,6.574129406712096,631.3702407342296,181.136804786923,76.79974079849804,137.43026878130567,101.17762501680953
2005-08-01,93.37484676644458,79.94848996631391,44.66582356586036,34.75470011344869,3.2873568804518203,10.138999919678835,6.6288298614548395,618.9659725541777,181.9832148861705,75.35908264625925,137.20528332046385,96.13505631143197
2005-09-01,92.93453597283278,79.1526357258265,46.16260523021678,33.690055608649345,3.5690826002845597,10.212817646721719,6.462944574673058,600.6307550653777,182.85134540476287,75.73403423768268,138.65481532561265,99.78419130939066
2005-10-01,94.11081145199361,79.21907296514509,46.3313088939996,33.96251745045647,3.517814451627628,11.37392403522089,6.512905291876761,612.9348019285053,182.22681772992783,75.33818355050217,136.7450831726733,97.30229612753921
2005-11-01,92.84480224748805,79.47187523362007,45.43330499766267,34.57062512665731,3.379860680013187,9.993066333854792,6.474236438081499,601.0992017971582,185.2539225674115,74.74378233503515,137.9918189485716,96.28077226879313
2005-12-01,93.32344704278817,79.54312435214875,46.59344881414861,33.89948427876935,3.542194263728518,10.23812842691091,6.514134754096842,607.9215097535426,180.91307874807987,74.98533300847484,137.72070473655685,98.4697827373958
2006-01-01,95.84851823801617,81.64343206156185,46.56060346364189,35.43078516236644,3.3318669721993355,10.873219204254983,6.517893573438248,624.7304410471443,179.42126844442888,74.69783020402477,135.3943739535162,97.12688426145738
2006-02-01,95.88689049655474,82.35768247980445,46.118254594741344,35.83620754658966,2.940823648804222,10.588384367946059,6.5004978083738,623.3125215246326,186.84821598601263,74.18974008279407,137.83657712513954,94.57920216949071
2006-03-01,93.86540763553612,79.92356520429837,45.2687235556475,34.44330711775262,3.155544948622143,10.786297482615616,6.749211044536559,633.5174459136866,184.9455264221673,73.52101355068264,136.53447043841385,99.08583170850164
2006-04-01,96.6657790796357,82.3269988104476,47.96593925674029,35.501081408356654,3.0506583908453684,11.288121878342722,6.398664149920039,618.5318551209555,188.35953598887096,75.18899846618591,142.11532515136625,98.92693134458402
2006-05-01,96.70429684399106,81.83091806434335,48.0884639952625,33.32013173276591,2.83522136245321,12.038157417194498,6.429991384038805,621.8077955063935,188.34074167431424,74.83079991097188,141.49824922447277,98.15983219586037
2006-06-01,101.85573274814531,87.200165441686,50.45561635859386,35.78395161638589,2.6659953947021036,11.989571911757212,6.407954952057041,652.6869470588763,189.20111900264692,75.83742238119541,142.72144647643665,103.31034115475606
2006-07-01,102.79717380007408,88.19745862527232,50.27022157881828,35.92736614634212,2.654766420141885,11.94494875465987,6.395831744437121,657.4734274289337,192.93224596854353,75.61877842310808,144.4413938058165,106.20750844647269
2006-08-01,100.68138501037609,86.59915999828827,50.278990071096246,34.82262133992534,2.635157131681903,11.447067880405912,6.351419989804118,639.4697613560674,193.53907628739023,74.48866508646265,144.0509106385907,105.60443038717385
2006-09-01,102.60211995778843,87.32100019600294,52.079910035647,37.52322386315923,2.576564407961485,12.704555353824004,6.421534492107225,658.8630522722615,190.6167809256534,74.94034196764062,143.31646066495833,105.17800794918527
2006-10-01,102.01545380506917,86.9463813321919,51.213250874645006,35.97035550781655,2.562797587352484,12.506274885524789,6.290735165436366,641.7522026694977,189.7080157961177,73.62903595854955,138.8907935741072,104.39536580077785
2006-11-01,104.69686159799055,89.05325621644162,52.36685250184627,38.37238499408759,2.6921480312370214,12.9514573503119,6.243181991707447,653.6415609168615,193.62680811231505,76.14535937872036,146.41590038133617,105.77653754697361
2006-12-01,110.51251404882079,94.13656056966136,55.637166713319985,38.30116956445196,2.535510703998845,13.840442775160595,6.065304069442982,670.2920011846875,195.17066539153987,74.11201458966403,146.16409856584565,108.30607738642605
2007-01-01,104.12004862879698,87.84193894021624,51.34357832590132,37.10593300773757,2.723022388877148,13.555087299703581,6.107351541823777,635.8977395278499,200.29915327460287,73.12299277277174,147.5621331279151,109.21468033833588
2007-02-01,105.32660247710321,88.79205310664882,52.091817110355,36.41325457008607,2.6785487498098948,13.856000620644494,6.168439999475488,649.7008277286175,202.667222011362,72.48616782059322,147.5086095458463,109.44697009968631
2007-03-01,110.06093742449814,93.1214553907332,54.42450871247969,39.50370310541606,2.953547715064776,13.985934318700162,6.136037732434983,675.3380649038861,202.9977296381803,74.96947433265196,152.5945043239319,112.24000313506392
2007-04-01,108.31987664876522,91.29897171071302,52.71554969670611,38.899546886630894,3.0115860337350058,14.009318904317205,6.36209731530764,689.1415964215639,203.48328165823193,74.59555085867535,152.06959065563652,112.96665409597466
2007-05-01,108.65166252178953,93.08598248257042,52.88034538036018,40.21672687449749,2.869675710504464,12.696004328714649,6.258036993513454,679.9461234680982,207.0289325158984,73.9325658368622,152.97823313834627,109.01878761047968
2007-06-01,110.53242088713087,93.65320951709296,52.65842721178562,40.71974888058455,2.9520451958704648,13.927166174167441,6.252730126700375,691.129398058089,209.76657153346443,76.5163957458527,159.95506667511282,115.43273289971867
2007-07-01,109.10440290990383,92.53935212480911,52.84357103497457,37.33066566259673,3.10400116149927,13.461049623595446,6.16073352212218,672.1631524181691,211.39877978329122,76.25598257805675,160.84896286452184,114.3914683985239
2007-08-01,114.63826331320863,97.57853445143235,55.515829216939245,40.077412012793225,3.1495594867242045,13.910169375052076,6.2199440603764184,713.0435849868599,210.2956632974469,77.47437305908545,162.7221057824231,119.47268906873313
2007-09-01,108.38386671189198,91.53106966816603,52.21290583500993,41.7920762746093,2.7991911871205395,14.053605856605408,6.26818873098369,679.3705319439196,208.3534513715319,77.84244190357927,161.6821730744624,109.80233993895949
2007-10-01,106.50825712236991,90.82150158887463,53.75402514731864,37.37607178369457,2.6066527105380186,13.080102822957269,6.346656306516174,675.9713017617352,208.70478023161462,77.55194159381759,160.687755447514,109.54175055028357
2007-11-01,106.61385666450272,89.79976811059531,54.091105404284626,36.480366679603705,2.8027487606235684,14.011339793283838,6.375223979752304,679.6872155814127,207.49908741889055,78.43266141219316,161.83772461281683,110.17542789904488
2007-12-01,106.7847576065183,89.6608199081481,53.86231092388499,35.415177261749804,2.750489064008833,14.373448634361361,6.552883828029468,699.7481111998004,208.87534726548523,76.61945208586043,161.583140751473,119.48522901380207
2008-01-01,99.84111345941042,84.37939811901327,50.355437360910344,34.32823055901062,2.5868782044241247,12.874837135973017,6.6030336147695206,659.2542283085046,209.66725305631022,77.50609089018266,163.6539521452824,104.64663362041905
2008-02-01,98.96890695535363,83.56643044292186,50.898933721403665,34.40387517579133,2.4794234047098698,12.923053107721916,6.790681853215524,672.0663604942956,210.5226359843832,76.99383640968611,161.78499052195292,106.35476937103809
2008-03-01,96.65949334147805,81.70006215176133,49.399920434145905,31.939379322312877,2.3166358090010033,12.642795380715723,6.721553071532652,649.7019143622017,213.43233507299735,75.43558965976911,158.96292490006385,103.85210513037902
2008-04-01,91.36605888942475,77.0853183777529,45.33524201516496,31.741786097794023,2.2093983497688208,12.071342161903026,6.972633314429716,637.0620260205503,203.07251515062774,73.63975985904683,152.59030525067018,100.91673018949979
2008-05-01,88.22791650321479,73.97567655473893,43.080042535731906,31.269962844829397,2.3980724305971566,11.854167517878704,6.976227069514512,615.4979793965931,208.0385422071121,73.21013498746404,152.69421598540595,99.57352440978998
2008-06-01,82.68950799579272,69.16924442567688,41.151089725686575,28.482778510753104,2.1896951609874127,11.330568409128434,7.146795272844773,590.9649848581914,211.47407235213328,68.79548972311197,145.9064045079106,96.63163665916841
2008-07-01,78.80166731007171,65.65308445514714,39.66980700369244,26.98925827860613,2.1262508211048945,11.022332033819682,7.111121301573579,560.3682150081653,205.49114979888355,68.54552216614995,142.29295208388075,90.92681216833168
2008-08-01,79.25998677884571,66.05418665141612,39.0449382356024,27.734111530731617,2.110255868947943,11.095544258481658,7.2604669982213945,575.4645182872733,206.5490831203834,68.82786274819269,143.7381955549608,91.89416218404823
2008-09-01,78.3224752423228,65.70345214200553,37.83341364135676,25.65149739910422,1.8414119626151422,10.777611137702129,7.287812018924761,570.7994764229371,203.21032364710325,63.75934146459619,129.27121884928243,88.33865923808553
2008-10-01,79.86100274141816,66.95470219407107,39.1798138976877,26.791679203524165,2.0130691731340886,10.893231374212997,7.351631720705593,587.1086810011661,201.6048685220874,67.51296565300213,135.10724925857323,89.87256680483527
2008-11-01,80.02434236125373,67.70745459836617,40.72735308559981,26.687865785579522,1.908145844508689,10.40874191837886,7.377415932719661,590.3728583413262,199.0221720711211,65.62915045365756,129.86116094594817,87.489863729718
2008-12-01,76.62552842141312,64.90621088712844,38.70138434301752,25.457420291963007,1.9877269536473265,9.731590580637357,7.354641515807286,563.553292498796,199.63504901685798,62.14425598514072,124.06642999606876,83.53362838228851
2009-01-01,77.99463397180654,66.30962617221817,40.51525285670856,25.974530295766105,1.904898096516055,9.78010970307231,7.367843631952397,574.6522672356328,198.56497240968815,59.39517292760172,119.08292177078673,85.53139612123105
2009-02-01,78.72896882352987,68.02678536529942,40.87121317652374,26.106362550308983,1.8927139004904248,8.809469557740027,7.251233106696043,570.8821051892204,191.07747445166507,59.88899806875204,115.8348072504903,86.77059453123161
