date,E_NF@KAU.M,ECT@KAU.M,EMN@KAU.M,E_TTU@KAU.M,E_TU@KAU.M,E_TRADE@KAU.M,EIF@KAU.M,E_FIR@KAU.M,EFI@KAU.M,ERE@KAU.M,E_PBS@KAU.M,EPS@KAU.M,EMA@KAU.M,EAD@KAU.M,E_EDHC@KAU.M,EED@KAU.M,EHC@KAU.M,E_LH@KAU.M,EAE@KAU.M,EAF@KAU.M,EOS@KAU.M,EGV@KAU.M,EGVFD@KAU.M,E_GVSL@KAU.M,EMPL@KAU.M,UR@KAU.M,ERT@KAU.M,EWT@KAU.M
1972-01-01,9.97876440677966,0.5996118139953691,1.32633781430713,1.8318083846470472,0.6258555029509854,,,0.2851752312567537,0.09690070496371281,0.18827452629304087,,,,,,,0.38319893057777077,,,2.140380526447059,,2.2563905034330727,0.30264401612225844,1.9537464873108141,,,,
1972-02-01,9.986054237288135,0.6001870710264244,1.279841205040082,1.8228100356909591,0.588620558931792,,,0.2863947790116478,0.09720685680550994,0.18918792220613784,,,,,,,0.3830764084584064,,,2.163779192406671,,2.2711744525533346,0.30197098132535544,1.9692034712279791,,,,
1972-03-01,9.985901553672317,0.599845324397596,1.2716777555205878,1.8287051115551731,0.59580735768278,,,0.28422725928878534,0.09661846729700645,0.1876087919917789,,,,,,,0.38416261523149,,,2.208878713966624,,2.2514966702447907,0.30154865352295374,1.9499480167218368,,,,
1972-04-01,10.040952118644068,0.6024140048779292,1.286463263969434,1.8312625972063956,0.6002614223791932,,,0.2856274645809018,0.0971246323108152,0.1885028322700866,,,,,,,0.39119222189474206,,,2.218181890547397,,2.2737808982613115,0.30384800779566146,1.9699328904656501,,,,
1972-05-01,10.078843644067797,0.6028902090234174,1.2935648646683888,1.841515400018223,0.5927609246189735,,,0.29188451553266526,0.09910670388657015,0.19277781164609512,,,,,,,0.39536050158919733,,,2.243728754524592,,2.2596171018267444,0.30254618566575425,1.95707091616099,,,,
1972-06-01,10.166838135593219,0.6070550350708455,1.3683604410718053,1.8591034717313775,0.6021881551562817,,,0.29453775730255904,0.10006301708036718,0.19447474022219188,,,,,,,0.40016754436998053,,,2.2720007240100526,,2.37545159576544,0.3001964845302827,2.0752551112351574,,,,
1972-07-01,10.17677231638418,0.6121821793429085,1.290917728093864,1.8682818448171052,0.6021757799721741,,,0.295018174365139,0.10023227078064773,0.1947859035844913,,,,,,,0.40358359578644115,,,2.288774544654518,,2.3079503043243252,0.29558049374861284,2.0123698105757124,,,,
1972-08-01,10.222808050847458,0.6155174613395752,1.2827872469966997,1.868330422756849,0.6085020936961747,,,0.2960086427992443,0.10035784740371329,0.19565079539553104,,,,,,,0.4041481388743116,,,2.3046600569775064,,2.2477733589265516,0.2981428288096748,1.9496305301168768,,,,
1972-09-01,10.228944632768362,0.6268470840137558,1.2020158371605147,1.868016094911447,0.6083910180731374,,,0.30055013923134144,0.1019596362619733,0.19859050296936817,,,,,,,0.406287750789283,,,2.3597055929576776,,2.379389873042115,0.29608877192776295,2.083301101114352,,,,
1972-10-01,10.294468644067797,0.6296123045365768,1.2315834001791588,1.8805349157360338,0.6243543870219255,,,0.30298034762571846,0.1027482145179823,0.20023213310773613,,,,,,,0.39924081054119803,,,2.3419670377667625,,2.3197082996027527,0.30021322815712287,2.01949507144563,,,,
1972-11-01,10.37300324858757,0.6400386897956438,1.2432367410053844,1.9246808328597582,0.6195232928729438,,,0.305453125483579,0.1036622740436827,0.2017908514398963,,,,,,,0.39817567945275123,,,2.3663342136489134,,2.3270767640521766,0.29863476208574763,2.028442001966429,,,,
1972-12-01,10.389168220338982,0.6405618277600614,1.227113701986956,1.9325161687878607,0.6350377114477166,,,0.3086129757483924,0.1046974298800411,0.2039155458683513,,,,,,,0.4052798535903359,,,2.3827087520922197,,2.3301901779673866,0.2985855863088119,2.0316045916585748,,,,
1973-01-01,10.507547672968775,0.6679875881431497,1.2135129173241095,2.036676086822408,0.7923015521434049,,,0.32923380038353645,0.11197390514949312,0.21725989523404335,,,,,,,0.396376300924727,,,2.2109726160598004,,2.396291099585189,0.4095027483193722,1.986788351265817,,,,
1973-02-01,10.592093974401383,0.6856585994624277,1.2470914290666029,2.0572880186621134,0.7925886250849002,,,0.3337810963376449,0.11354897383718517,0.22023212250045973,,,,,,,0.40547715530566064,,,2.2320730349269633,,2.3712677148924075,0.4057179984747595,1.965549716417648,,,,
1973-03-01,10.659673556579047,0.6960646729299186,1.2496847907498743,2.065489467530167,0.801004688593052,,,0.337847590289973,0.11495212857531947,0.22289546171465358,,,,,,,0.41252830751123876,,,2.2428246677738977,,2.37059206496968,0.40531434898215385,1.9652777159875263,,,,
1973-04-01,10.423886109061298,0.6937804880488514,1.2234108492966271,2.0804572621444617,0.7956484726986945,,,0.34095229404758554,0.11617767612465531,0.22477461792293021,,,,,,,0.41959107098741344,,,2.234490758799711,,2.091248508994838,0.4038536111148183,1.6873948978800197,,,,
1973-05-01,10.670489554441588,0.6989450177280754,1.2287950032421147,2.082193225459527,0.8066019556962565,,,0.34136892140129343,0.11607446620393501,0.22529445519735844,,,,,,,0.42417763639969697,,,2.284660008026412,,2.3456375228193416,0.4032932410133425,1.942344281805999,,,,
1973-06-01,10.687913333672611,0.7010460805196809,1.213602696877219,2.0836463801929344,0.8148221732422596,,,0.3440613376979572,0.1170009823803744,0.2270603553175828,,,,,,,0.4206864986962591,,,2.2833035928032226,,2.4655733812119043,0.40138550240864074,2.0641878788032635,,,,
