date,E_NF@KAU.Q,UR@KAU.Q,VIS@KAU.Q,VDAY@KAU.Q,PMKRSGF@KAU.Q,KPPRVRSD_R@KAU.Q,ECT@KAU.Q
1972-01-01,9.983573399246705,,,,,,0.5998814031397965
1972-04-01,10.09554463276836,,,,,,0.6041197496573973
1972-07-01,10.209508333333334,,,,,,0.6181822415654131
1972-10-01,10.352213370998117,,,,,,0.6367376073640939
1973-01-01,10.586438401316402,,,,,,0.683236953511832
1973-04-01,10.594096332391834,,,,,,0.6979238620988691
1973-07-01,10.70686499910939,,,,,,0.7132770353531548
1973-10-01,10.868236553092954,,,,,,0.7327458369653197
1974-01-01,10.517533402801897,,,,,,0.8492763839912643
1974-04-01,10.604740402586875,,,,,,0.8522377567008825
1974-07-01,10.782437023437367,,,,,,0.8748271918403848
1974-10-01,10.769562711920473,,,,,,0.8721394104180984
1975-01-01,11.526185458346498,,,,,,0.9110859012526907
1975-04-01,11.584355495053112,,,,,,0.8898608959749118
1975-07-01,11.635576303570991,,,,,,0.8586855933248957
1975-10-01,11.661735449838341,,,,,,0.8102918453872016
1976-01-01,12.146713638641621,,,,,,0.8421877548988768
1976-04-01,12.304228079135143,,,,,,0.813384144585375
1976-07-01,12.331479874949286,,,,,,0.7850652032544082
1976-10-01,12.440880395198432,,,,,,0.7909101277301259
1977-01-01,12.92711190327143,,,,,,0.7090452225551381
1977-04-01,13.027763538213039,,,,,,0.7075308395996007
1977-07-01,13.081459004737503,,,,,,0.6863076816430854
1977-10-01,13.136250272425864,,,,,,0.6327974124133087
1978-01-01,13.341125191221833,,,,,,0.6673072885390116
1978-04-01,13.566022752269264,,,,,,0.6858264896325467
1978-07-01,13.805303845049584,,,,,,0.717465683276662
1978-10-01,14.02137231829325,,,,,,0.7466068162156233
1979-01-01,14.147509654131946,,,,,,0.8948822186050317
1979-04-01,14.23954021403494,,,,,,0.903999791606997
1979-07-01,14.387142915556305,,,,,,0.9486506468301507
1979-10-01,14.367214762488898,,,,,,0.9758731704219211
1980-01-01,15.109160729039928,,,,,,1.4660076070321626
1980-04-01,15.169471471483854,,,,,,1.4448346424584502
1980-07-01,15.139464267007606,,,,,,1.342732270996369
1980-10-01,15.217938877088786,,,,,,1.3672480725260978
1981-01-01,15.273194873906329,,,,,,1.155168910051885
1981-04-01,15.256082788814547,,,,,,1.115288820959024
1981-07-01,15.224996378109452,,,,,,1.0910836385152332
1981-10-01,15.199084760336248,,,,,,1.0422996240542903
1982-01-01,15.181120627634272,,,,,,0.8572412147900396
1982-04-01,15.162323323456997,,,,,,0.8144947223791906
1982-07-01,15.128044101322873,,,,,,0.7818131101621546
1982-10-01,15.133926319742935,,,,,,0.7743949636710218
1983-01-01,15.604584412396234,,,,,,1.0444176060009749
1983-04-01,15.571510959531727,,,,,,1.0228176461400456
1983-07-01,15.856566043025756,,,,,,1.0257198960640659
1983-10-01,15.91930794868639,,,,,,1.0199861215295967
1984-01-01,15.627486415988477,,,,,,0.6949499387446426
1984-04-01,15.756040446427972,,,,,,0.6939178414188755
1984-07-01,15.7262514745182,,,,,,0.635847139480144
1984-10-01,15.85927124403428,,,,,,0.5572744510511299
1985-01-01,16.481348602466234,,,,,,0.7156882805488386
1985-04-01,16.598264503816793,,,,,,0.7562102347858985
1985-07-01,16.847257163828534,,,,,,0.7883192364747552
1985-10-01,16.947731561949496,,,,,,0.7967369784957007
1986-01-01,17.673107308669184,,,,,,0.8081159246518719
1986-04-01,17.768042798056765,,,,,,0.8114060634630365
1986-07-01,18.006182251189184,,,,,,0.8870486032770294
1986-10-01,18.216883095495973,,,,,,0.932450497346384
1987-01-01,18.96509808376363,,,,,,0.9664669982136007
1987-04-01,19.22856068846816,,,,,,0.9874340590001834
1987-07-01,19.391920298336203,,,,,,0.9881275096427621
1987-10-01,19.669817119908206,,,,,,0.9943793470385867
1988-01-01,20.683139341804804,,,,,,0.9269205812448881
1988-04-01,20.91899872927888,,,,,,0.977639933350604
1988-07-01,21.13996994369781,,,,,,1.0050055175272823
1988-10-01,21.37897965451724,,,,,,1.0482254258732406
1989-01-01,22.70186233726265,,,,,19.90860335195531,1.4717098127457604
1989-04-01,23.020916658698088,,,,,23.618453038674033,1.5712632350523388
1989-07-01,23.316427165663715,,,,,32.39889258028793,1.643876560690824
1989-10-01,23.72414932157282,,,,,38.57580546448088,1.7242160786595109
1990-01-01,23.736987635403413,4.523560717770044,304.33353943739115,,,38.51724890829694,1.7671194379391102
1990-04-01,24.06037276674253,4.363502859012414,309.7783087175233,,,34.69891891891892,1.7721779859484779
1990-07-01,24.192600907359946,3.8178892419440946,309.4652725075184,,,29.549434737923953,1.8042154566744735
1990-10-01,24.531237203927585,3.069603626833857,305.2724226702646,,,64.76777777777777,1.8598594847775178
1991-01-01,25.245658071431208,3.8843051545469187,270.03298584900256,,,18.91004056795132,1.7305952930318416
1991-04-01,25.148372707615746,4.175040378033526,305.6397516676804,,,20.875742067553738,1.7258883248730967
1991-07-01,25.342424097268225,4.346070673015649,316.1002743007049,,,15.232146490335705,1.6913705583756347
1991-10-01,25.44313974270784,4.7104339009311404,290.5533188710804,,,11.57255297679112,1.6552838024919245
1992-01-01,24.623125746820573,6.194685864182277,271.6824899888952,1385.53040334448,,13.059605911330049,1.7103988255444094
1992-04-01,24.64067320298972,7.1918919076482695,244.54952615354222,1090.5918436273917,,28.71343719571568,1.6937607046733547
1992-07-01,24.644611966612263,6.74020222767507,198.50191965753905,1409.0044523214415,,24.577982541222116,1.6704673354538784
