date,E_NF@KAU.M,UR@KAU.M,VIS@KAU.M,VDAY@KAU.M,ECT@KAU.M
1988-05-01,20.90047060607645,,,,0.9718229550464798
1988-06-01,20.991761083512,,,,0.9894090531188813
1988-07-01,21.090892919520993,,,,0.9986179555933777
1988-08-01,21.124848684829782,,,,1.0028952209920214
1988-09-01,21.204168226742663,,,,1.0135033759964476
1988-10-01,21.297085907022954,,,,1.0248187377555893
1988-11-01,21.360823882236048,,,,1.0472237851361508
1988-12-01,21.479029174292734,,,,1.0726337547279816
1989-01-01,22.54676436237737,,,,1.4223343967049433
1989-02-01,22.711675063885902,,,,1.4730401727859956
1989-03-01,22.847147585524677,,,,1.5197548687463422
1989-04-01,22.878439416371272,,,,1.5422850280124005
1989-05-01,23.01901865468633,,,,1.5699086501817874
1989-06-01,23.165291905036675,,,,1.6015960269628289
1989-07-01,23.175987104113418,,,,1.606064640910414
1989-08-01,23.331602021267816,,,,1.637663761925403
1989-09-01,23.441692371609914,,,,1.6879012792366557
1989-10-01,23.60184965130656,,,,1.7089522945842897
1989-11-01,23.74798066606214,,,,1.7316464829526976
1989-12-01,23.822617647349755,,,,1.7320494584415451
1990-01-01,23.60835285692591,4.46136986014225,103.45896492716683,,1.7401405152224827
1990-02-01,23.81169708198871,4.376588725181241,100.63868014485826,,1.7856674473067917
1990-03-01,23.79091296729562,4.732723567986641,100.23589436536606,,1.7755503512880566
1990-04-01,24.03934798004636,4.684529144070071,104.33913816374223,,1.7603747072599534
1990-05-01,24.05287416783928,4.115542808283557,101.80570256261748,,1.770491803278689
1990-06-01,24.08889615234193,4.290436624683613,103.63346799116358,,1.7856674473067917
1990-07-01,24.16632296974855,4.291595521766034,105.80973552345563,,1.7957845433255273
1990-08-01,24.198913635702297,3.571426316808357,105.82061219968045,,1.8059016393442628
1990-09-01,24.212566116629,3.590645887257893,97.83492478438237,,1.8109601873536303
1990-10-01,24.456240992672896,3.163458789714624,102.16768234876244,,1.8564871194379395
1990-11-01,24.596549046057312,2.816026871624855,102.13958789163341,,1.8564871194379395
1990-12-01,24.540921573052543,3.2293252191620936,100.96515242986875,,1.8666042154566749
1991-01-01,25.367148448862693,3.9854964399451576,96.3106004832441,,1.7321642824180896
1991-02-01,25.215100123530156,3.7138995594785507,82.18536495508428,,1.7321642824180896
1991-03-01,25.154725641900775,3.953519464217048,91.53702041067419,,1.727457314259345
1991-04-01,25.102541568273978,3.939054793295693,102.17479550240144,,1.727457314259345
1991-05-01,25.13291624002081,3.8968266436470778,100.98099943209772,,1.727457314259345
1991-06-01,25.20966031455245,4.689239697157809,102.48395673318123,,1.7227503461006002
1991-07-01,25.30117497578861,4.426765870010185,106.35860310018234,,1.703922473465621
1991-08-01,25.34862415144088,4.2270218966623085,106.66807917098697,,1.6945085371481312
1991-09-01,25.377473164575193,4.384424252374453,103.07359202953555,,1.6756806645131521
1991-10-01,25.407831427640215,4.260620223897438,97.89460429985508,,1.6662667281956625
1991-11-01,25.45346116544512,5.04482848376786,93.0459445600825,,1.6521458237194282
1991-12-01,25.468126635038182,4.8258529951281215,99.61277001114284,,1.6474388555606831
1992-01-01,24.595269262967186,5.563157320593348,91.05307031099905,501.47929465012083,1.7220455101541476
1992-02-01,24.611236740899834,6.46698937316571,90.74398308950427,469.3347840584826,1.7070712013701985
1992-03-01,24.662871236594693,6.553910898787773,89.88543658839191,414.7163246358764,1.7020797651088821
1992-04-01,24.640552354069815,6.724163491061319,86.3701096600592,391.88614777372686,1.6970883288475658
1992-05-01,24.636283981834012,6.841972539351948,81.23438271686645,361.4573768002396,1.6920968925862492
1992-06-01,24.645183273065346,8.009539692531542,76.94503377661658,337.24831905342506,1.6920968925862492
1992-07-01,24.674438841295384,7.0368949774402445,68.98231819344149,488.34420633893563,1.6920968925862492
1992-08-01,24.67482317861966,6.779960828707421,63.89104666770292,460.1301852728972,1.6771225838023003
1992-09-01,24.584573879921756,6.403750876877545,65.62855479639464,460.5300607096086,1.6421825299730857
1992-10-01,24.513332848186522,22.080488387937624,60.352605452963715,419.5951703976556,1.7020797651088821
1992-11-01,24.50623420085477,19.508326497916894,55.6631846070172,388.23892622176965,1.727036946415464
1992-12-01,24.52087514638664,15.881751899687103,50.980616977758565,349.58456208726136,1.7370198189380965
1993-01-01,22.428856441688637,17.812142823526244,45.317136030848886,246.10609609130356,2.906182081622796
1993-02-01,22.540673460848424,16.642350216956658,39.000203454971285,213.017152019649,2.947114223617483
1993-03-01,22.528034010942065,15.464070471221824,38.1050451322335,201.10343166654613,2.914368510021734
1993-04-01,22.575008681709498,13.675605916051426,38.88542715361111,198.08904965005007,2.8979956532238584
1993-05-01,22.563907699801998,12.662779470342656,43.2339571925442,216.23389465078932,2.8734363680270465
1993-06-01,22.553993909414924,13.661994986710646,43.47829489328676,218.71191110464062,2.8406906544312966
1993-07-01,22.43940676498092,12.355773882787357,47.37010799328972,236.23530987690947,2.832504226032359
1993-08-01,22.33143869967735,11.41127389820028,50.011618194763784,254.2093594490069,2.791572084037672
1993-09-01,22.302366363905005,11.247554316897656,53.979916293988225,273.56306307025284,2.7751992272397965
1993-10-01,22.4032486181326,11.329136486240188,58.49104270548111,301.19667276438196,2.7506399420429846
1993-11-01,22.298859381435896,11.667687868465615,58.28008497440018,305.09664830945866,2.70152137164936
1993-12-01,22.217823437313015,11.46605521573154,60.212865949861346,311.8149893470114,2.644216372856797
1994-01-01,22.98792563671568,13.67354332953009,66.29442920833301,342.9182254014929,1.934179265658747
1994-02-01,22.957778669561215,14.212696003613967,70.29949321824657,387.70841406228857,1.9280777537796976
1994-03-01,23.001925307650044,14.189846028060316,71.84453539203055,402.0264644877087,1.9158747300215981
1994-04-01,22.997118515064198,13.61686212155313,72.69157827021851,396.1274708381335,1.934179265658747
1994-05-01,22.875615266401848,13.625602866390985,69.78510763745358,389.0411219184017,1.9158747300215981
1994-06-01,22.957655935172205,13.586163461504508,70.69280978650033,398.47581376532275,1.8975701943844492
1994-07-01,23.03161754550903,12.6665272607008,71.40743976305633,404.9216477527976,1.8914686825053995
1994-08-01,23.001438379289073,12.251486573760339,72.99418623959446,419.44620549690603,1.8853671706263497
1994-09-01,23.02718919517532,12.710158544434535,70.94266321540967,409.22439475504854,1.860961123110151
1994-10-01,23.03949408263852,12.56845550896939,72.75677945643798,413.0063263001282,1.8365550755939526
1994-11-01,23.10051947319478,12.112089572955199,75.55173298629268,437.55748255050537,1.8121490280777537
1994-12-01,23.067611448729732,11.559304763039046,75.45799578220836,430.2250766712665,1.7816414686825053
1995-01-01,23.704564008312914,11.684616021323269,73.21772001717399,415.70707300314774,1.6444511459589866
1995-02-01,23.646104667905313,11.76006010516456,73.85094561817426,409.6823291510116,1.6329915560916768
1995-03-01,23.667349980376258,11.618946653444073,75.39757856192873,424.91374875781617,1.6272617611580216
1995-04-01,23.638894431130147,11.804551320274703,73.96715356959423,421.79032515452224,1.6043425814234016
1995-05-01,23.529703456339604,11.273112369288762,75.92375173377431,433.3808871599032,1.5928829915560916
1995-06-01,23.54988635320366,11.588383073843856,77.22857555872226,434.6715850072707,1.5928829915560916
1995-07-01,23.520627312739194,10.877523896161945,79.2797693724649,445.0194500985036,1.5756936067551266
1995-08-01,23.465973394289875,10.63152529748258,79.99139590438612,447.5466085463543,1.5756936067551266
1995-09-01,23.445486187889202,11.476997479396356,78.86944296732226,437.82213276783466,1.5642340168878166
1995-10-01,23.417132558692458,11.504222820270726,79.62051995842987,449.74067297454786,1.5413148371531966
1995-11-01,23.43033434265895,11.808561773196347,80.63047755268317,447.581120262202,1.5355850422195416
1995-12-01,23.41185980407233,11.47507735374701,81.17274964360405,446.14288511688557,1.5126658624849214
1996-01-01,23.266247928894522,12.732924836822534,78.89905458195832,437.53030387423,1.305870580386925
1996-02-01,23.347581132849363,12.531403147300368,83.61365120901907,455.12977942687706,1.2858572381587727
1996-03-01,23.33905169896866,12.439697567056395,79.11986351891815,446.5640169647278,1.2608405603735826
1996-04-01,23.264390353014143,12.155918850798864,80.08828892111342,451.32044674022546,1.2708472314876587
1996-05-01,23.2535112656638,11.71578192970193,83.61132252345055,461.4116965236632,1.2658438959306209
1996-06-01,23.265071649010675,12.676135359554175,85.09001948769686,469.47713206787347,1.2558372248165448
1996-07-01,23.322174360919277,11.596802766243696,81.23791835978953,455.436564727977,1.2458305537024685
1996-08-01,23.299851703177076,10.882129829218812,81.63315268923357,460.82746384701943,1.2408272181454305
1996-09-01,23.229398783311,11.164985392589843,82.1050598060503,469.6057845842493,1.2358238825883925
1996-10-01,23.27614853911122,11.567836408639886,77.2053622987075,458.39104140350264,1.2358238825883925
1996-11-01,23.278317325658033,12.816559035978992,81.09896772306567,461.31664195216644,1.1857905270180122
1996-12-01,23.386176373550278,12.264378652675944,81.73368413944034,454.206585887488,1.2308205470313547
1997-01-01,23.492009768203257,13.121216367522258,82.17470263032395,457.3038009891829,1.0327665603967413
1997-02-01,23.494369868168707,11.709833559067729,82.48300592508241,478.10026446772235,1.0285511866808361
1997-03-01,23.494691325072516,11.389536393108003,83.36668457749656,496.6534639476408,1.015905065533121
1997-04-01,23.474383233227442,11.037735096256561,86.32673291740727,523.6550677495086,0.9990435706695008
1997-05-01,23.39413618173527,10.59594599276894,79.62680737824081,494.56082831330815,0.9948281969535958
1997-06-01,23.39672628368794,11.270149509410231,81.17981646967593,482.2612994673547,0.9779667020899754
1997-07-01,23.347846608747048,10.270535002847813,80.92302272412347,487.51209735321487,0.9863974495217855
1997-08-01,23.38166028179036,10.728128692701643,82.68069708274824,493.70257229648615,0.9779667020899754
1997-09-01,23.282247758172257,10.2522710129053,84.9952982652306,530.1295961746372,0.9779667020899754
1997-10-01,23.311617767103744,9.914093022175962,84.39953954475457,508.7250104978325,0.9779667020899754
